"id","question","right-answer","wrong-answer-1","wrong-answer-2","wrong-answer-3","kategorie","proposer","gemolden","reason","propose_date","proposer_time"
"16","Für welches Element steht die Abkürzung AU","Gold","Silber","Mais","Eisen","sonstige","0","0","none","2021-11-21","20:14:22"
"18","Wann wurde Donald Trump Präsident?","2016","2017","2014","2010","sonstige","0","0","none","2021-11-21","20:14:22"
"19","Welcher Vogel legt seine Eier in fremde Nester?","Kuck Kuck","Elster","Adler","Taube","sonstige","0","0","none","2021-11-21","20:14:22"
"20","Welcher ist der Grösste Vogel?","Strauss","Adler","Storch","Emu","sonstige","0","0","none","2021-11-21","20:14:22"
"21","Welches ist das schnellste Tier?","Gepard","Huhn","Pferd","Löwe","sonstige","0","0","none","2021-11-21","20:14:22"
"22","Wie heisst der Schweizer Nationalzirkus?","Knie","Ellbogen","Nase","Fuss","sonstige","0","0","none","2021-11-21","20:14:22"
"23","Was ist das Grösste Grass?","Bambus","Klee","Spitzgrass","Pampas gras","sonstige","0","0","none","2021-11-21","20:14:22"
"24","Wie alt wird das Universum geschätzt?","13.8 Mrd. Jahre","10.8 Mrd. Jahre","18.8 Mrd. Jahre","3.8 Mrd. Jahre","sonstige","0","0","none","2021-11-21","20:14:22"
"25","Wer war der Letzte US Präsident der im Amt ermordet wurde?","JF. Kennedy","Abraham Lincoln","Ronald Reagen","Jimmy Carter","sonstige","0","0","none","2021-11-21","20:14:22"
"26","Wie viele Finger haben die Charaktäre aus den Simpsons","4","5","3","6","sonstige","0","0","none","2021-11-21","20:14:22"
"27","Wann kam der Originale Schneewitchen Film heraus?","1937","1927","1954","1945","sonstige","0","0","none","2021-11-21","20:14:22"
"28","Bei welcher Stadt liegt die Golden Gate Bridge?","San Francisco","Berlin","New York","Kalifornien","sonstige","0","0","none","2021-11-21","20:14:22"
"29","Wie heisst die einzige Exklave Deutschlands?","Büsingen","Stühlingen","Rüdlingen","Pabloingen","sonstige","0","0","none","2021-11-21","20:14:22"
"30","Wie heisst die Verganheits form im Französischen?","Passer Compose","Passe Simple","Passe L'Amour","Passe 'Circe","sonstige","0","0","none","2021-11-21","20:14:22"
"31","Wie heisst der Gründer von Zirkus Knie","Friedrich Knie","Karl Knie","Charles Knie","Freddy Knie","sonstige","0","0","none","2021-11-21","20:14:22"
"32","Wie viele Einwohner hat die Schweiz?","8,6 Millionen","9,6 Millionen","5,6 Millionen","11,6 Millionen","sonstige","0","0","none","2021-11-21","20:14:22"
"33","Welches ist das Kleinste Land?","Schweiz","Deutschland","Oesterreich","Polen","sonstige","0","0","none","2021-11-21","20:14:22"
"34","Wie heisst die Legendäre Hauptstrasse der USA?","Route 66","Route 101","Route 69","Mexico Freeway","sonstige","0","0","none","2021-11-21","20:14:22"
